title,language,rating,platform,description,episodes
Breaking Bad,English,9.5,Netflix,A chemistry teacher turns to crime,62
Game of Thrones,English,9.3,Disney+,A fight for the throne of Westeros,73
Stranger Things,English,8.7,Netflix,A supernatural mystery unfolds in a small town,34
Sherlock,English,9,Hotstar,A detective solves thrilling cases,13
Friends,English,8.9,Netflix,A group of friends navigate life in NYC,236
The Office,English,9,Prime Video,A hilarious look at office life,201
Dark,English,9.3,Netflix,A mind-bending time-travel story,26
Money Heist,English,8.7,Netflix,A thrilling bank heist saga,41
Narcos,English,9,Netflix,The rise and fall of a drug empire,30
House of Cards,English,8.7,Netflix,Political power struggles in Washington,73
Westworld,English,8.5,Netflix,A futuristic battle between AI and humans,36
Better Call Saul,English,9,Netflix,A lawyer's life before Breaking Bad,63
Chernobyl,English,9.3,Disney+,A dramatized nuclear disaster story,5
The Crown,English,8.6,Netflix,The story of the British royal family,50
Black Mirror,English,8.7,Netflix,A dark anthology of technology’s impact,27
The Witcher,English,7.9,Netflix,A monster hunter’s dangerous adventures,24
Lost,English,8.3,Prime Video,Survivors stranded on a mysterious island,121
Dexter,English,8.6,Netflix,A vigilante serial killer’s twisted morality,96
How I Met Your Mother,English,8.3,Prime Video,A tale of friendship and love in NYC,208
Brooklyn Nine-Nine,English,8.4,Netflix,A comedic take on a detective squad,153
title,language,rating,platform,description,episodes
Sacred Games,Hindi,9.5,Netflix,A thrilling battle between a cop and a gangster,16
Mirzapur,Hindi,9.3,Prime Video,A violent power struggle in the crime world,19
Paatal Lok,Hindi,8.7,Disney+,A suspenseful crime investigation,9
Asur,Hindi,9,Hotstar,A psychological thriller mixing crime and mythology,8
Delhi Crime,Hindi,8.9,SonyLiv,A police drama based on real-life cases,7
The Family Man,Hindi,9.5,Netflix,A spy balances national security and family life,19
Breathe,Hindi,9.3,Prime Video,A crime thriller about a desperate father,16
Kota Factory,Hindi,8.7,Disney+,A realistic take on student life in India,10
Aspirants,Hindi,9,Hotstar,Aspiring civil servants navigate competition and life,5
Panchayat,Hindi,8.9,SonyLiv,A lighthearted village-based comedy drama,16
Made in Heaven,Hindi,9.5,Netflix,A look at lavish Indian weddings and secrets,16
Bard of Blood,Hindi,9.3,Prime Video,An ex-spy must go on a deadly mission,7
Jamtara,Hindi,8.7,Disney+,A true-crime story about small-town cyber scams,18
Scam 1992,Hindi,9,Hotstar,The rise and fall of a financial genius,10
Rangbaaz,Hindi,8.9,SonyLiv,The story of a real-life gangster,18
Special Ops,Hindi,9.5,Netflix,A secret intelligence officer hunts terrorists,16
Inside Edge,Hindi,9.3,Prime Video,A dark drama set in the cricket world,30
Hostages,Hindi,8.7,Disney+,A doctor must make an impossible choice,22
Criminal Justice,Hindi,9,Hotstar,A man fights to prove his innocence,18
Rocket Boys,Hindi,8.9,SonyLiv,The inspiring story of India’s space pioneers,8
title,language,rating,platform,description,episodes
Loser,Telugu,8.4,Zee 5,An inspiring sports drama,16
Dhootha,Telugu,7.7,Prime Video,A journalist struggles with gripping screen play,8
90's A Middle Class Biopic,Telugu,8.9,Aha,A good family entertainer with emotions,6
Parampara,Telugu,7.5,Hotstar,A political revenge drama,10
Locked,Telugu,7.1,SonyLiv,A doctor trapped in a game of survival,8
Gods of Dharmapuri,Telugu,7.8,Netflix,A power struggle in a mining town,10
Sin,Telugu,6.9,Prime Video,A dark drama exploring complex relationships,7
Maa Vintha Gaadha Vinuma,Telugu,6.9,Disney+,A quirky love story with twists,10
High Priestess,Telugu,7.1,Hotstar,A woman with supernatural abilities solves crimes,7
Kudi Yedamaithe,Telugu,7.5,SonyLiv,A sci-fi thriller involving time loops,8
11th Hour,Telugu,7.7,Netflix,A gripping corporate drama,8
Shaitan,Telugu,7.3,Prime Video,A gritty crime thriller,10
Pelli Gola,Telugu,8.5,Disney+,A fun romantic web series,16
Muddapappu Avakai,Telugu,8.1,Hotstar,A lighthearted family drama,10
Tharagathi Gadhi Daati,Telugu,7.6,SonyLiv,A nostalgic school romance,5
Addham,Telugu,7.4,Netflix,An anthology exploring moral dilemmas,6
