title,language,rating,platform,description
Inception,English,8.8,Prime Video,A mind-bending thriller about dreams within dreams.
Interstellar,English,8.7,Prime Video,A visually stunning sci-fi epic exploring space, time, and love.
The Dark Knight,English,9,Prime Video,A dark and gripping superhero crime thriller.
Avatar,English,7.9,Disney+,A visually stunning sci-fi adventure on Pandora.
Titanic,English,7.8,Disney+,A tragic love story set on the Titanic.
The Matrix,English,8.7,Prime Video,A hacker discovers the shocking reality of the world.
Gladiator,English,8.5,Netflix,A betrayed Roman general seeks revenge.
The Godfather,English,9.2,Netflix,An epic crime drama about the Corleone family.
Forrest Gump,English,8.8,Prime Video,A heartwarming story of a simple man’s extraordinary life.
Fight Club,English,8.7,Prime Video,A psychological thriller exploring identity and society.
Pulp Fiction,English,8.9,Netflix,A cult classic crime drama with interconnected stories.
The Shawshank Redemption,English,9.3,Prime Video,A gripping prison escape drama.
The Lord of the Rings,English,8.9,Netflix,A fantasy epic about the battle between good and evil.
The Social Network,English,7.8,Netflix,A biographical drama on the rise of Facebook.
Django Unchained,English,8.5,Prime Video,A bounty hunter and a freed slave seek revenge.
The Wolf of Wall Street,English,8.2,Prime Video,A stockbroker’s rise and fall in Wall Street.
The Revenant,English,8,Prime Video,A harrowing survival story in the wilderness.
Mad Max: Fury Road,English,8.1,Netflix,A high-octane post-apocalyptic action film.
Joker,English,8.3,Prime Video,A dark psychological thriller about the rise of a villain.
Whiplash,English,8.5,Netflix,An intense drama about ambition and music.

3 Idiots,Hindi,8.4,Prime Video,An inspiring and comedic story about friendship and education.
Dangal,Hindi,8.3,Prime Video,A true story about India’s wrestling champions.
Gangs of Wasseypur,Hindi,8.2,Netflix,A gritty crime saga of revenge and power struggles.
Zindagi Na Milegi Dobara,Hindi,7.9,Disney+,A road trip that changes the lives of three friends.
Lagaan,Hindi,7.8,Netflix,An underdog cricket match in colonial India.
Taare Zameen Par,Hindi,8.7,Prime Video,A touching film about a dyslexic child’s struggles.
Sholay,Hindi,8.5,Disney+,A legendary Bollywood action drama.
Kabir Singh,Hindi,9.2,Netflix,A passionate yet destructive love story.
Andhadhun,Hindi,8.8,Prime Video,A dark thriller about a blind pianist caught in a murder mystery.
Drishyam,Hindi,8.7,Netflix,A gripping thriller about a family’s cover-up.
Queen,Hindi,8.9,Netflix,A heartwarming story of self-discovery.
PK,Hindi,9.3,Prime Video,A comedy questioning religious superstitions.
Barfi,Hindi,8.9,Netflix,A heartwarming love story of a mute and autistic man.
Bajrangi Bhaijaan,Hindi,7.7,Disney+,A man helps a lost Pakistani girl reunite with her family.
Raazi,Hindi,8.5,Netflix,A female spy’s mission in wartime India.
Padmaavat,Hindi,8.2,Prime Video,A historical epic about Rani Padmavati.
Article 15,Hindi,8,Disney+,A police officer fights caste discrimination in India.
Kahaani,Hindi,8.1,Netflix,A suspenseful thriller about a pregnant woman’s search for her missing husband.
Super 30,Hindi,8.4,,The inspiring true story of a mathematician training underprivileged students.
MS Dhoni: The Untold Story,Hindi,8.5,Netflix,A biopic on the life of Indian cricketer MS Dhoni.

Baahubali,Telugu,8.2,Disney+,A grand epic about a lost prince discovering his destiny.
RRR,Telugu,7.8,Netflix,A fictionalized story of two freedom fighters.
Pushpa,Telugu,7.9,Prime Video,A high-energy action film about a smuggler’s rise.
Arjun Reddy,Telugu,7.9,Disney+,A brilliant but self-destructive surgeon’s love story.
Eega,Telugu,7.7,Prime Video,A revenge story with a unique twist – the hero reincarnates as a fly!
Ala Vaikunthapurramuloo,Telugu,7.5,Netflix,A stylish entertainer about family and identity.
Rangasthalam,Telugu,8.1,Disney+,An action-packed story with a good twist.
Jersey,Telugu,8.5,Prime Video,A heartfelt sports drama about a failed cricketer’s comeback.
Sita Ramam,Telugu,8.4,Prime Video,A beautiful love story with high emotions.
Fidaa,Telugu,7.4,Prime Video,A romantic drama set in rural India.
Magadheera,Telugu,7.7,Prime Video,A reincarnation love story spanning centuries.
Businessman,Telugu,7.2,Prime Video,An ambitious gangster’s rise in the underworld.
Srimanthudu,Telugu,7.5,Prime Video,A billionaire’s inspiring journey to help a village.
Gabbar Singh,Telugu,7.1,Disney+,A fun-filled action movie with a cop as the hero.
Nenokkadine,Telugu,7.9,Prime Video,A psychological thriller with a gripping storyline.
Yevadu,Telugu,7.4,Prime Video,A revenge drama with a unique identity twist.
Temper,Telugu,7.3,Disney+,A corrupt cop’s transformation into a righteous man.
Hit,Telugu,7.6,Prime Video,A best suspense thrillerwith a good screenplay.
Manam,Telugu,7.9,Zee 5,An uniquefamily drama.
Pokiri,Telugu,8.1,Disney+,A best action entertainer with a good twist.

